Stat,Name,Number of dwellings,"Gross charges
NIS k",discount NIS K,discount percent,allocated collected NIS K,allocated collected percent,debit balance NIS K,debit balance percent
1353,תלפיות מזרח (דרום) - רח' משה ברזני,    790,"    4,454.4","  1,189.7",27,"  2,944.4",66,    320.3, 7
1354,תלפיות מזרח (מרכז) - רח' דב גרונר,"  1,144","    4,633.4","  1,806.2",39,"  2,585.5",56,    241.8, 5
1355,"תלפיות מזרח (מזרח) - רח' אבשלום חביב, מתנ""ס",    883,"    4,736.2","  1,342.1",28,"  3,104.9",66,    289.2, 6
1621,גבעת המטוס,     15,       20.5,      7.8,38,      7.0,34,      5.7,28
1622,"חומת שמואל א' (דרום), 
רח' זאב פלק","  1,227","    8,527.8","  1,811.3",21,"  6,401.7",75,    314.8, 4
1623,"חומת שמואל ב' - רח' יחיאל לנגר, 
רח' הבבא סאלי, ג'בל אבו-סוקור","  2,263","   16,879.8","  2,964.0",18," 13,148.2",78,    767.6, 5
1624,"חומת שמואל א' (צפון) - 
רח' ליכטנשטיין, רח' בר לביא",    900,"    6,584.3","  1,287.4",20,"  5,058.0",77,    238.9, 4
1625,"חומת שמואל א' (מערב) - רח' הממציא, 
רח' מנחם ברש","  1,596","   12,199.9","  3,065.3",25,"  8,732.4",72,    402.3, 3
1631,גילה - רח' אפרסמון,"  1,216","    4,957.0","  1,533.9",31,"  3,061.8",62,    361.3, 7
1632,"גילה - רח'  אריה בן אליעזר, רח' שמיר","  1,550","   10,544.6","  3,054.6",29,"  6,928.9",66,    561.1, 5
1633,גילה - רח' האחות יהודית,"  1,789","   10,519.4","  2,888.1",28,"  6,994.5",67,    636.9, 6
1634,"גילה - רח' יפה רום, גבעת קנדה","  1,526","   12,067.7","  3,035.2",25,"  8,503.9",71,    528.5, 4
1641,"גילה - רח' האנפה, רח' השליו","  1,046","    5,498.5","  1,887.0",34,"  3,358.9",61,    252.6, 5
1642,גילה - רח' תרשיש,    867,"    4,751.6","  1,217.7",26,"  3,230.8",68,    303.2, 6
1643,"גילה - רח' תירוש, רח' דגן",    939,"    5,984.6","  1,375.3",23,"  4,339.8",73,    269.5, 5
1644,גילה - רח' המחנכת,    532,"    4,850.7",    890.7,18,"  3,876.3",80,     83.7, 2
2111,"כפר עקב, עטרות","  5,074","   19,666.6","  6,245.3",32,"  6,973.5",36,"  6,447.8",33
2112,בית חנינא," 10,093","   67,768.9"," 17,753.5",26," 34,125.4",50," 15,890.1",23
2211,שועפאט,"  4,264","   24,532.2","  6,903.2",28," 11,732.2",48,"  5,896.9",24
2212,מחנה פליטים שועפאט,    152,      220.3,     50.1,23,      0.6, 0,    169.6,77
2213,ענאתה החדשה,"  1,746","    6,514.1","  2,019.3",31,"  2,400.8",37,"  2,094.1",32
2311,עיסאוויה,"  2,699","   11,938.6","  3,700.5",31,"  4,169.6",35,"  4,068.6",34
2312,"א-טור, מורדות הר הזיתים","  6,243","   34,386.0"," 10,546.0",31," 14,495.7",42,"  9,344.4",27
2411,"ואדי אל ג'וז, שייח ג'ראח","  2,310","   13,490.5","  3,961.7",29,"  6,308.3",47,"  3,220.6",24
2412,"באב א-זהרה, מסעודיה","  1,436","    8,006.3","  2,302.3",29,"  3,649.1",46,"  2,054.9",26
2511,העיר העתיקה - הרובע המוסלמי,"  3,934","    8,211.6","  2,326.9",28,"  4,058.1",49,"  1,826.5",22
2512,העיר העתיקה - הרובע היהודי,    644,"    5,432.5","  1,597.4",29,"  2,964.4",55,    870.7,16
2513,העיר העתיקה - הרובע הארמני,    699,"    3,172.0",    778.9,25,"  1,755.1",55,    638.0,20
2514,העיר העתיקה - הרובע הנוצרי,"  1,286","    2,653.9",    684.4,26,"  1,185.0",45,    784.4,30
2611,סילוואן,"  3,052","   11,041.3","  3,409.5",31,"  4,702.4",43,"  2,929.5",27
2612,אבו תור,"  1,693","    7,633.5","  2,211.5",29,"  3,316.8",44,"  2,105.2",28
2613,ראס אל-עמוד,"  4,699","   21,171.1","  6,329.4",30,"  9,220.6",44,"  5,621.1",27
2711,ג'בל מוכבר,"  6,579","   26,191.3","  7,600.5",29," 12,270.9",47,"  6,319.9",24
2811,צור באהר,"  4,596","   16,457.8","  3,743.2",23,"  8,415.2",51,"  4,299.3",26
2812,אום טובא,    697,"    2,408.2",    504.8,21,"  1,331.1",55,    572.3,24
2911,בית צפאפא,"  3,760","   17,071.1","  3,294.2",19," 10,743.8",63,"  3,033.1",18
111,נווה יעקב (מזרח),    494,"    3,124.0","  1,208.4",39,"  1,720.2",55,    195.5, 6
112,נווה יעקב - קרית קמניץ,    472,"    3,424.5",    999.5,29,"  2,215.4",65,    209.6, 6
113,"נווה יעקב (דרום) - רח' הרב פניז'ל, מתנ""ס",    867,"    4,501.8","  1,725.0",38,"  2,541.0",56,    235.7, 5
114,נווה יעקב (מרכז) - מבוא אדמונד פלג ,    708,"    3,405.4","  1,440.0",42,"  1,735.0",51,    230.3, 7
115,נווה יעקב (צפון) - רח' מאיר בלבן,"  1,020","    5,208.6","  2,172.0",42,"  2,714.1",52,    322.6, 6
116,"נווה יעקב (מערב) - רח' אבא אחימאיר, רח' משה סנה","  1,628","    8,688.2","  3,204.9",37,"  4,894.1",56,    589.1, 7
121,פסגת זאב צפון (מערב)  ,"  1,139","    6,342.5","  2,068.8",33,"  4,047.9",64,    225.9, 4
122,פסגת זאב צפון (מזרח) - רח' נתיב המזלות  ,    934,"    5,608.7","  1,625.1",29,"  3,829.4",68,    154.2, 3
123,פסגת זאב מרכז (מערב) - רח' גדוד חרמש,"  1,546","    8,181.1","  2,640.9",32,"  5,135.9",63,    404.2, 5
124,פסגת זאב מרכז (דרום) - שד' סיירת דוכיפת,    613,"    3,261.8","  1,033.0",32,"  2,008.7",62,    220.2, 7
125,פסגת זאב מרכז (מזרח) - רח' יעקב יהושע,"  1,179","    9,371.4","  2,265.9",24,"  6,471.9",69,    633.6, 7
131,פסגת זאב מזרח (מזרח) - רח' אברהם הררי רפול,    733,"    8,751.0","  1,135.7",13,"  7,474.6",85,    140.8, 2
132,פסגת זאב מזרח (מרכז) - רח' משה גבירצמן,"  1,589","    9,296.3","  2,399.8",26,"  6,617.5",71,    279.1, 3
133,פסגת זאב מזרח (דרום - מזרח) - רח' אליהו מרידור,"  1,285","    9,469.6","  2,037.4",22,"  7,115.3",75,    317.0, 3
